ID: 0  Имя: Idle
Приоритет: 8  Время запуска: 30.12.2020 10:59:29

ID: 4328  Имя: MSBuild
Приоритет: 8  Время запуска: 30.12.2020 11:26:36

ID: 8568  Имя: conhost
Приоритет: 8  Время запуска: 30.12.2020 9:08:51

ID: 10232  Имя: VBCSCompiler
Приоритет: 8  Время запуска: 30.12.2020 11:26:37

ID: 6544  Имя: conhost
Приоритет: 8  Время запуска: 30.12.2020 9:08:51

ID: 3932  Имя: VsDebugConsole
Приоритет: 8  Время запуска: 30.12.2020 11:27:02

ID: 10796  Имя: conhost
Приоритет: 8  Время запуска: 30.12.2020 9:08:51

ID: 9844  Имя: OOP_Lab15
Приоритет: 8  Время запуска: 30.12.2020 11:27:02

ID: 10944  Имя: git
Приоритет: 8  Время запуска: 30.12.2020 11:27:02

ID: 7256  Имя: git
Приоритет: 8  Время запуска: 30.12.2020 11:27:02

